"filename", "language", "JavaScript", "JSON", "Markdown", "CSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"q:\React项目合集(已做)\onresume\README.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 20
"q:\React项目合集(已做)\onresume\craco.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 0, 9
"q:\React项目合集(已做)\onresume\package-lock.json", "JSON", 0, 32271, 0, 0, 0, 0, 0, 1, 32272
"q:\React项目合集(已做)\onresume\package.json", "JSON", 0, 65, 0, 0, 0, 0, 0, 1, 66
"q:\React项目合集(已做)\onresume\public\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 2, 21
"q:\React项目合集(已做)\onresume\src\App.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 2, 9
"q:\React项目合集(已做)\onresume\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 2, 21
"q:\React项目合集(已做)\onresume\src\assets\css\base.css", "CSS", 0, 0, 0, 23, 0, 0, 5, 4, 32
"q:\React项目合集(已做)\onresume\src\assets\data\resumeInfo copy.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 1, 54
"q:\React项目合集(已做)\onresume\src\assets\data\resumeInfo.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 1, 56
"q:\React项目合集(已做)\onresume\src\assets\data\resumeService.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 1, 55
"q:\React项目合集(已做)\onresume\src\assets\theme\index.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 12, 118
"q:\React项目合集(已做)\onresume\src\base-ui\Loading\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 15
"q:\React项目合集(已做)\onresume\src\base-ui\backTop\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 1, 22
"q:\React项目合集(已做)\onresume\src\base-ui\backTop\style.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 1, 7
"q:\React项目合集(已做)\onresume\src\components\app-footer\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 5, 4, 67
"q:\React项目合集(已做)\onresume\src\components\app-footer\style.js", "JavaScript", 53, 0, 0, 0, 0, 0, 1, 2, 56
"q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-logo\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 1, 14
"q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-logo\style.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 1, 14
"q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-opts\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 126, 0, 0, 2, 128
"q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-opts\style.js", "JavaScript", 47, 0, 0, 0, 0, 0, 2, 9, 58
"q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-tabs\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 4, 57
"q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-tabs\style.js", "JavaScript", 31, 0, 0, 0, 0, 0, 9, 9, 49
"q:\React项目合集(已做)\onresume\src\components\app-header\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 1, 2, 33
"q:\React项目合集(已做)\onresume\src\components\app-header\style.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 3, 32
"q:\React项目合集(已做)\onresume\src\components\log-form\c-cpns\input-item\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 2, 3, 44
"q:\React项目合集(已做)\onresume\src\components\log-form\c-cpns\input-item\style.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"q:\React项目合集(已做)\onresume\src\components\log-form\c-cpns\mobile-log\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 14, 6, 56
"q:\React项目合集(已做)\onresume\src\components\log-form\c-cpns\pwd-item\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 2, 2, 52
"q:\React项目合集(已做)\onresume\src\components\log-form\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 275, 0, 28, 7, 310
"q:\React项目合集(已做)\onresume\src\components\log-form\style.js", "JavaScript", 217, 0, 0, 0, 0, 0, 6, 4, 227
"q:\React项目合集(已做)\onresume\src\components\my-tabs\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 125, 0, 1, 6, 132
"q:\React项目合集(已做)\onresume\src\components\my-tabs\style.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 3, 33
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\certificateHonor\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 3, 22
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\certificateHonor\style.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 2, 28
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\job-intent\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 3, 12
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\project-expe\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 3, 20
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\project-expe\style.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-content\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 5, 54
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-content\style.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 2, 64
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-title\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 4, 17
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-title\style.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 2, 34
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\school-expe\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 3, 20
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\school-expe\style.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\selfEvaluation\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 3, 22
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\selfEvaluation\style.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 2, 28
