"filename", "language", "JSON", "JavaScript", "Markdown", "Ignore", "HTML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"q:\React项目合集(已做)\onresume\.prettierignore", "Ignore", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"q:\React项目合集(已做)\onresume\.prettierrc", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"q:\React项目合集(已做)\onresume\README.md", "Markdown", 0, 0, 43, 0, 0, 0, 0, 0, 19, 62
"q:\React项目合集(已做)\onresume\craco.config.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 2, 1, 25
"q:\React项目合集(已做)\onresume\package-lock.json", "JSON", 32900, 0, 0, 0, 0, 0, 0, 0, 1, 32901
"q:\React项目合集(已做)\onresume\package.json", "JSON", 76, 0, 0, 0, 0, 0, 0, 0, 1, 77
"q:\React项目合集(已做)\onresume\public\index.html", "HTML", 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"q:\React项目合集(已做)\onresume\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"q:\React项目合集(已做)\onresume\src\assets\css\base.css", "CSS", 0, 0, 0, 0, 0, 0, 30, 5, 4, 39
"q:\React项目合集(已做)\onresume\src\assets\data\chatData.js", "JavaScript", 0, 249, 0, 0, 0, 0, 0, 0, 5, 254
"q:\React项目合集(已做)\onresume\src\assets\data\resumeInfo.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 1, 56
"q:\React项目合集(已做)\onresume\src\assets\data\resumeService.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"q:\React项目合集(已做)\onresume\src\assets\theme\index.js", "JavaScript", 0, 106, 0, 0, 0, 0, 0, 0, 12, 118
"q:\React项目合集(已做)\onresume\src\base-ui\Loading\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"q:\React项目合集(已做)\onresume\src\base-ui\backTop\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"q:\React项目合集(已做)\onresume\src\base-ui\backTop\style.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"q:\React项目合集(已做)\onresume\src\components\app-footer\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 4, 4, 69
"q:\React项目合集(已做)\onresume\src\components\app-footer\style.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 1, 2, 58
"q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-logo\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-logo\style.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 2, 15
"q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-opts\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 142, 0, 2, 2, 146
"q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-opts\style.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 2, 6, 55
"q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-tabs\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 3, 64
"q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-tabs\style.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 10, 4, 45
"q:\React项目合集(已做)\onresume\src\components\app-header\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 1, 3, 36
"q:\React项目合集(已做)\onresume\src\components\app-header\style.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"q:\React项目合集(已做)\onresume\src\components\log-form\c-cpns\input-item\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 48, 0, 2, 4, 54
"q:\React项目合集(已做)\onresume\src\components\log-form\c-cpns\input-item\style.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"q:\React项目合集(已做)\onresume\src\components\log-form\c-cpns\mobile-log\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 3, 5, 45
"q:\React项目合集(已做)\onresume\src\components\log-form\c-cpns\pwd-item\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 57, 0, 2, 3, 62
"q:\React项目合集(已做)\onresume\src\components\log-form\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 287, 0, 32, 6, 325
"q:\React项目合集(已做)\onresume\src\components\log-form\style.js", "JavaScript", 0, 217, 0, 0, 0, 0, 0, 6, 4, 227
"q:\React项目合集(已做)\onresume\src\components\my-tabs\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 125, 0, 1, 6, 132
"q:\React项目合集(已做)\onresume\src\components\my-tabs\style.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"q:\React项目合集(已做)\onresume\src\components\order-list\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 163, 0, 3, 3, 169
"q:\React项目合集(已做)\onresume\src\components\order-list\style.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"q:\React项目合集(已做)\onresume\src\components\resume-bottomTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 129, 0, 3, 6, 138
"q:\React项目合集(已做)\onresume\src\components\resume-bottomTab\style.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\certificateHonor\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\certificateHonor\style.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\project-expe\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\project-expe\style.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-content\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 5, 54
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-content\style.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 2, 64
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-header\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-header\style.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 2, 63
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-title\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-title\style.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 0, 2, 131
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\school-expe\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\school-expe\style.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\selfEvaluation\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\selfEvaluation\style.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\skillSpecialties\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\skillSpecialties\style.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\user-info\c-cpns\Avatar\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 2, 1, 75
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\user-info\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 128, 0, 2, 5, 135
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\user-info\style.js", "JavaScript", 0, 186, 0, 0, 0, 0, 0, 1, 2, 189
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\work-expe\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\work-expe\style.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"q:\React项目合集(已做)\onresume\src\components\resume-message\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 1, 3, 29
"q:\React项目合集(已做)\onresume\src\components\resume-team\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 94, 0, 1, 3, 98
"q:\React项目合集(已做)\onresume\src\components\resume-team\style.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 10, 90
"q:\React项目合集(已做)\onresume\src\components\resumeImg-item\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"q:\React项目合集(已做)\onresume\src\components\resumeImg-item\style.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"q:\React项目合集(已做)\onresume\src\components\serviceSetion\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 2, 3, 73
"q:\React项目合集(已做)\onresume\src\components\serviceSetion\style.js", "JavaScript", 0, 232, 0, 0, 0, 0, 0, 0, 4, 236
"q:\React项目合集(已做)\onresume\src\hooks\useOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"q:\React项目合集(已做)\onresume\src\hooks\useSetTime.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"q:\React项目合集(已做)\onresume\src\hooks\useSocket.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 32, 13, 89
"q:\React项目合集(已做)\onresume\src\hooks\useWebSocket.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 10, 13, 89
"q:\React项目合集(已做)\onresume\src\index.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-banner\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 1, 4, 26
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-banner\style.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 1, 3, 47
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-charact\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-charact\style.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 2, 37
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\c-cpns\hot-resume\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 3, 48
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\c-cpns\hot-resume\style.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 10, 3, 64
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\c-cpns\hot-title\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 1, 4, 49
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\style.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 1, 16, 130
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-resumeImg\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-service\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-service\style.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6, 2, 14
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-slide\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 4, 2, 34
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-slide\style.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 3, 3, 22
"q:\React项目合集(已做)\onresume\src\pages\home\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 93, 0, 2, 3, 98
"q:\React项目合集(已做)\onresume\src\pages\home\style.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"q:\React项目合集(已做)\onresume\src\pages\login\c-cpns\forget-pwd\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 5, 51
"q:\React项目合集(已做)\onresume\src\pages\login\c-cpns\forget-pwd\style.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 2, 60
"q:\React项目合集(已做)\onresume\src\pages\login\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 1, 2, 20
"q:\React项目合集(已做)\onresume\src\pages\login\style.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-info\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 54, 0, 1, 2, 57
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-info\style.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 3, 2, 33
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-order\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 230, 0, 11, 5, 246
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-resume\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 128, 0, 1, 2, 131
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-resume\style.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 3, 67
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\popularize\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 3, 110
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\popularize\style.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
