Date : 2023-04-20 20:24:32
Directory : q:\React项目合集(已做)\onresume
Total : 177 files,  41673 codes, 301 comments, 590 blanks, all 42564 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          3 |     32,985 |          0 |          3 |     32,988 |
| JavaScript JSX |         85 |      4,822 |        174 |        301 |      5,297 |
| JavaScript     |         83 |      3,757 |        122 |        258 |      4,137 |
| Markdown       |          1 |         43 |          0 |         19 |         62 |
| CSS            |          3 |         40 |          5 |          6 |         51 |
| HTML           |          1 |         19 |          0 |          1 |         20 |
| Ignore         |          1 |          7 |          0 |          2 |          9 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        177 |     41,673 |        301 |        590 |     42,564 |
| . (Files)                                                                                                       |          6 |     33,057 |          2 |         25 |     33,084 |
| public                                                                                                          |          1 |         19 |          0 |          1 |         20 |
| src                                                                                                             |        170 |      8,597 |        299 |        564 |      9,460 |
| src (Files)                                                                                                     |          3 |         59 |          0 |          6 |         65 |
| src\assets                                                                                                      |          5 |        494 |          5 |         23 |        522 |
| src\assets\css                                                                                                  |          1 |         30 |          5 |          4 |         39 |
| src\assets\data                                                                                                 |          3 |        358 |          0 |          7 |        365 |
| src\assets\theme                                                                                                |          1 |        106 |          0 |         12 |        118 |
| src\base-ui                                                                                                     |          3 |         41 |          1 |          4 |         46 |
| src\base-ui\Loading                                                                                             |          1 |         15 |          0 |          1 |         16 |
| src\base-ui\backTop                                                                                             |          2 |         26 |          1 |          3 |         30 |
| src\components                                                                                                  |         50 |      3,077 |         82 |        161 |      3,320 |
| src\components\app-footer                                                                                       |          2 |        116 |          5 |          6 |        127 |
| src\components\app-header                                                                                       |          8 |        371 |         16 |         25 |        412 |
| src\components\app-header (Files)                                                                               |          2 |         61 |          1 |          6 |         68 |
| src\components\app-header\c-cpns                                                                                |          6 |        310 |         15 |         19 |        344 |
| src\components\app-header\c-cpns\header-logo                                                                    |          2 |         29 |          1 |          4 |         34 |
| src\components\app-header\c-cpns\header-opts                                                                    |          2 |        189 |          4 |          8 |        201 |
| src\components\app-header\c-cpns\header-tabs                                                                    |          2 |         92 |         10 |          7 |        109 |
| src\components\log-form                                                                                         |          6 |        646 |         45 |         23 |        714 |
| src\components\log-form (Files)                                                                                 |          2 |        504 |         38 |         10 |        552 |
| src\components\log-form\c-cpns                                                                                  |          4 |        142 |          7 |         13 |        162 |
| src\components\log-form\c-cpns\input-item                                                                       |          2 |         48 |          2 |          5 |         55 |
| src\components\log-form\c-cpns\mobile-log                                                                       |          1 |         37 |          3 |          5 |         45 |
| src\components\log-form\c-cpns\pwd-item                                                                         |          1 |         57 |          2 |          3 |         62 |
| src\components\my-tabs                                                                                          |          2 |        155 |          1 |          9 |        165 |
| src\components\order-list                                                                                       |          2 |        188 |          3 |          6 |        197 |
| src\components\resume-bottomTab                                                                                 |          2 |        155 |          3 |          8 |        166 |
| src\components\resume-info                                                                                      |         21 |        938 |          5 |         55 |        998 |
| src\components\resume-info\c-cpns                                                                               |         21 |        938 |          5 |         55 |        998 |
| src\components\resume-info\c-cpns\certificateHonor                                                              |          2 |         47 |          0 |          5 |         52 |
| src\components\resume-info\c-cpns\project-expe                                                                  |          2 |         21 |          0 |          5 |         26 |
| src\components\resume-info\c-cpns\resume-content                                                                |          2 |        111 |          0 |          7 |        118 |
| src\components\resume-info\c-cpns\resume-header                                                                 |          2 |         89 |          0 |          5 |         94 |
| src\components\resume-info\c-cpns\resume-title                                                                  |          2 |        154 |          0 |          5 |        159 |
| src\components\resume-info\c-cpns\school-expe                                                                   |          2 |         21 |          0 |          5 |         26 |
| src\components\resume-info\c-cpns\selfEvaluation                                                                |          2 |         46 |          0 |          5 |         51 |
| src\components\resume-info\c-cpns\skillSpecialties                                                              |          2 |         44 |          0 |          5 |         49 |
| src\components\resume-info\c-cpns\user-info                                                                     |          3 |        386 |          5 |          8 |        399 |
| src\components\resume-info\c-cpns\user-info (Files)                                                             |          2 |        314 |          3 |          7 |        324 |
| src\components\resume-info\c-cpns\user-info\c-cpns                                                              |          1 |         72 |          2 |          1 |         75 |
| src\components\resume-info\c-cpns\user-info\c-cpns\Avatar                                                       |          1 |         72 |          2 |          1 |         75 |
| src\components\resume-info\c-cpns\work-expe                                                                     |          2 |         19 |          0 |          5 |         24 |
| src\components\resume-message                                                                                   |          1 |         25 |          1 |          3 |         29 |
| src\components\resume-team                                                                                      |          2 |        174 |          1 |         13 |        188 |
| src\components\resumeImg-item                                                                                   |          2 |          9 |          0 |          6 |         15 |
| src\components\serviceSetion                                                                                    |          2 |        300 |          2 |          7 |        309 |
| src\hooks                                                                                                       |          4 |        128 |         42 |         28 |        198 |
| src\pages                                                                                                       |         90 |      4,122 |        113 |        318 |      4,553 |
| src\pages\home                                                                                                  |         16 |        575 |         29 |         60 |        664 |
| src\pages\home (Files)                                                                                          |          2 |        112 |          2 |          5 |        119 |
| src\pages\home\c-cpns                                                                                           |         14 |        463 |         27 |         55 |        545 |
| src\pages\home\c-cpns\home-banner                                                                               |          2 |         64 |          2 |          7 |         73 |
| src\pages\home\c-cpns\home-charact                                                                              |          2 |         52 |          0 |          5 |         57 |
| src\pages\home\c-cpns\home-hotTemplate                                                                          |          5 |        267 |         12 |         30 |        309 |
| src\pages\home\c-cpns\home-hotTemplate (Files)                                                                  |          2 |        157 |          2 |         20 |        179 |
| src\pages\home\c-cpns\home-hotTemplate\c-cpns                                                                   |          3 |        110 |         10 |         10 |        130 |
| src\pages\home\c-cpns\home-hotTemplate\c-cpns\hot-resume                                                        |          2 |         96 |         10 |          6 |        112 |
| src\pages\home\c-cpns\home-hotTemplate\c-cpns\hot-title                                                         |          1 |         14 |          0 |          4 |         18 |
| src\pages\home\c-cpns\home-resumeImg                                                                            |          1 |         12 |          0 |          4 |         16 |
| src\pages\home\c-cpns\home-service                                                                              |          2 |         24 |          6 |          4 |         34 |
| src\pages\home\c-cpns\home-slide                                                                                |          2 |         44 |          7 |          5 |         56 |
| src\pages\login                                                                                                 |          4 |        127 |          1 |         11 |        139 |
| src\pages\login (Files)                                                                                         |          2 |         23 |          1 |          4 |         28 |
| src\pages\login\c-cpns                                                                                          |          2 |        104 |          0 |          7 |        111 |
| src\pages\login\c-cpns\forget-pwd                                                                               |          2 |        104 |          0 |          7 |        111 |
| src\pages\my                                                                                                    |         10 |        693 |         16 |         29 |        738 |
| src\pages\my (Files)                                                                                            |          2 |         24 |          0 |          5 |         29 |
| src\pages\my\c-cpns                                                                                             |          8 |        669 |         16 |         24 |        709 |
| src\pages\my\c-cpns\my-info                                                                                     |          2 |         82 |          4 |          4 |         90 |
| src\pages\my\c-cpns\my-order                                                                                    |          1 |        230 |         11 |          5 |        246 |
| src\pages\my\c-cpns\my-resume                                                                                   |          2 |        192 |          1 |          5 |        198 |
| src\pages\my\c-cpns\popularize                                                                                  |          2 |        113 |          0 |          6 |        119 |
| src\pages\my\c-cpns\upload-template                                                                             |          1 |         52 |          0 |          4 |         56 |
| src\pages\register                                                                                              |          2 |         13 |          0 |          5 |         18 |
| src\pages\resume-company                                                                                        |          4 |        190 |          2 |         20 |        212 |
| src\pages\resume-company (Files)                                                                                |          2 |         20 |          0 |          5 |         25 |
| src\pages\resume-company\c-cards                                                                                |          2 |        170 |          2 |         15 |        187 |
| src\pages\resume-details                                                                                        |         31 |      1,109 |         28 |        100 |      1,237 |
| src\pages\resume-details (Files)                                                                                |          2 |         21 |          3 |          4 |         28 |
| src\pages\resume-details\c-cpns                                                                                 |         29 |      1,088 |         25 |         96 |      1,209 |
| src\pages\resume-details\c-cpns\drawer-tabs                                                                     |          1 |        106 |          2 |          5 |        113 |
| src\pages\resume-details\c-cpns\resume-helpOpt                                                                  |          2 |        149 |          1 |         14 |        164 |
| src\pages\resume-details\c-cpns\resume-helper                                                                   |          2 |         78 |          1 |         12 |         91 |
| src\pages\resume-details\c-cpns\resume-main                                                                     |          2 |        141 |          9 |          9 |        159 |
| src\pages\resume-details\c-cpns\resume-tabPanel                                                                 |         22 |        614 |         12 |         56 |        682 |
| src\pages\resume-details\c-cpns\resume-tabPanel (Files)                                                         |          1 |         27 |          0 |          4 |         31 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns                                                          |         21 |        587 |         12 |         52 |        651 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\basicInfoTab                                             |          2 |        168 |          8 |          7 |        183 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\campusExperienceTab                                      |          2 |         51 |          0 |          4 |         55 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\certificateHonorTab                                      |          1 |         11 |          0 |          2 |         13 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\editor-inputs                                            |          2 |         43 |          0 |          6 |         49 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\jobIntentTab                                             |          2 |         52 |          1 |          7 |         60 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\projectExperienceTab                                     |          2 |         51 |          0 |          4 |         55 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\selfEvaluationTab                                        |          1 |         11 |          0 |          2 |         13 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\skillSpecialtiesTab                                      |          1 |         12 |          0 |          4 |         16 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-Editor                                               |          3 |         96 |          2 |          6 |        104 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-date                                                 |          2 |         19 |          0 |          4 |         23 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-input                                                |          1 |         38 |          1 |          2 |         41 |
| src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\workExperienceTab                                        |          2 |         35 |          0 |          4 |         39 |
| src\pages\resume-service                                                                                        |         19 |      1,110 |         20 |         83 |      1,213 |
| src\pages\resume-service (Files)                                                                                |          2 |         25 |          1 |          4 |         30 |
| src\pages\resume-service\c-cpns                                                                                 |         17 |      1,085 |         19 |         79 |      1,183 |
| src\pages\resume-service\c-cpns\s-banner                                                                        |          2 |         65 |          0 |          8 |         73 |
| src\pages\resume-service\c-cpns\s-case                                                                          |          2 |         91 |          0 |          6 |         97 |
| src\pages\resume-service\c-cpns\s-optimize                                                                      |          2 |         84 |          0 |          4 |         88 |
| src\pages\resume-service\c-cpns\s-order                                                                         |          7 |        632 |         19 |         49 |        700 |
| src\pages\resume-service\c-cpns\s-order (Files)                                                                 |          1 |         54 |          0 |          4 |         58 |
| src\pages\resume-service\c-cpns\s-order\c-cpns                                                                  |          6 |        578 |         19 |         45 |        642 |
| src\pages\resume-service\c-cpns\s-order\c-cpns\order-card                                                       |          2 |        137 |          1 |         15 |        153 |
| src\pages\resume-service\c-cpns\s-order\c-cpns\order-payCard                                                    |          2 |        195 |         11 |         19 |        225 |
| src\pages\resume-service\c-cpns\s-order\c-cpns\order-steps                                                      |          2 |        246 |          7 |         11 |        264 |
| src\pages\resume-service\c-cpns\s-step                                                                          |          2 |        159 |          0 |          7 |        166 |
| src\pages\resume-service\c-cpns\s-team                                                                          |          2 |         54 |          0 |          5 |         59 |
| src\pages\teacher                                                                                               |          2 |        125 |         16 |          3 |        144 |
| src\pages\template-list                                                                                         |          2 |        180 |          1 |          7 |        188 |
| src\routers                                                                                                     |          1 |         82 |          8 |          1 |         91 |
| src\services                                                                                                    |          6 |        239 |         21 |          8 |        268 |
| src\services (Files)                                                                                            |          1 |          3 |          0 |          1 |          4 |
| src\services\modules                                                                                            |          3 |        143 |         15 |          5 |        163 |
| src\services\request                                                                                            |          2 |         93 |          6 |          2 |        101 |
| src\store                                                                                                       |          6 |        293 |          7 |          6 |        306 |
| src\store (Files)                                                                                               |          1 |         14 |          0 |          1 |         15 |
| src\store\modules                                                                                               |          5 |        279 |          7 |          5 |        291 |
| src\utils                                                                                                       |          2 |         62 |         20 |          9 |         91 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                        | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| q:\React项目合集(已做)\onresume\.prettierignore                                                                       | Ignore         |          7 |          0 |          2 |          9 |
| q:\React项目合集(已做)\onresume\.prettierrc                                                                           | JSON           |          9 |          0 |          1 |         10 |
| q:\React项目合集(已做)\onresume\README.md                                                                             | Markdown       |         43 |          0 |         19 |         62 |
| q:\React项目合集(已做)\onresume\craco.config.js                                                                       | JavaScript     |         22 |          2 |          1 |         25 |
| q:\React项目合集(已做)\onresume\package-lock.json                                                                     | JSON           |     32,900 |          0 |          1 |     32,901 |
| q:\React项目合集(已做)\onresume\package.json                                                                          | JSON           |         76 |          0 |          1 |         77 |
| q:\React项目合集(已做)\onresume\public\index.html                                                                     | HTML           |         19 |          0 |          1 |         20 |
| q:\React项目合集(已做)\onresume\src\App.jsx                                                                           | JavaScript JSX |         18 |          0 |          2 |         20 |
| q:\React项目合集(已做)\onresume\src\assets\css\base.css                                                               | CSS            |         30 |          5 |          4 |         39 |
| q:\React项目合集(已做)\onresume\src\assets\data\chatData.js                                                           | JavaScript     |        249 |          0 |          5 |        254 |
| q:\React项目合集(已做)\onresume\src\assets\data\resumeInfo.js                                                         | JavaScript     |         55 |          0 |          1 |         56 |
| q:\React项目合集(已做)\onresume\src\assets\data\resumeService.js                                                      | JavaScript     |         54 |          0 |          1 |         55 |
| q:\React项目合集(已做)\onresume\src\assets\theme\index.js                                                             | JavaScript     |        106 |          0 |         12 |        118 |
| q:\React项目合集(已做)\onresume\src\base-ui\Loading\index.jsx                                                         | JavaScript JSX |         15 |          0 |          1 |         16 |
| q:\React项目合集(已做)\onresume\src\base-ui\backTop\index.jsx                                                         | JavaScript JSX |         21 |          0 |          1 |         22 |
| q:\React项目合集(已做)\onresume\src\base-ui\backTop\style.js                                                          | JavaScript     |          5 |          1 |          2 |          8 |
| q:\React项目合集(已做)\onresume\src\components\app-footer\index.jsx                                                   | JavaScript JSX |         61 |          4 |          4 |         69 |
| q:\React项目合集(已做)\onresume\src\components\app-footer\style.js                                                    | JavaScript     |         55 |          1 |          2 |         58 |
| q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-logo\index.jsx                                | JavaScript JSX |         17 |          0 |          2 |         19 |
| q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-logo\style.js                                 | JavaScript     |         12 |          1 |          2 |         15 |
| q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-opts\index.jsx                                | JavaScript JSX |        142 |          2 |          2 |        146 |
| q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-opts\style.js                                 | JavaScript     |         47 |          2 |          6 |         55 |
| q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-tabs\index.jsx                                | JavaScript JSX |         61 |          0 |          3 |         64 |
| q:\React项目合集(已做)\onresume\src\components\app-header\c-cpns\header-tabs\style.js                                 | JavaScript     |         31 |         10 |          4 |         45 |
| q:\React项目合集(已做)\onresume\src\components\app-header\index.jsx                                                   | JavaScript JSX |         32 |          1 |          3 |         36 |
| q:\React项目合集(已做)\onresume\src\components\app-header\style.js                                                    | JavaScript     |         29 |          0 |          3 |         32 |
| q:\React项目合集(已做)\onresume\src\components\log-form\c-cpns\input-item\index.jsx                                   | JavaScript JSX |         48 |          2 |          4 |         54 |
| q:\React项目合集(已做)\onresume\src\components\log-form\c-cpns\input-item\style.js                                    | JavaScript     |          0 |          0 |          1 |          1 |
| q:\React项目合集(已做)\onresume\src\components\log-form\c-cpns\mobile-log\index.jsx                                   | JavaScript JSX |         37 |          3 |          5 |         45 |
| q:\React项目合集(已做)\onresume\src\components\log-form\c-cpns\pwd-item\index.jsx                                     | JavaScript JSX |         57 |          2 |          3 |         62 |
| q:\React项目合集(已做)\onresume\src\components\log-form\index.jsx                                                     | JavaScript JSX |        287 |         32 |          6 |        325 |
| q:\React项目合集(已做)\onresume\src\components\log-form\style.js                                                      | JavaScript     |        217 |          6 |          4 |        227 |
| q:\React项目合集(已做)\onresume\src\components\my-tabs\index.jsx                                                      | JavaScript JSX |        125 |          1 |          6 |        132 |
| q:\React项目合集(已做)\onresume\src\components\my-tabs\style.js                                                       | JavaScript     |         30 |          0 |          3 |         33 |
| q:\React项目合集(已做)\onresume\src\components\order-list\index.jsx                                                   | JavaScript JSX |        163 |          3 |          3 |        169 |
